id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
38690544,Trendy Row-home on H St!,282820070,Tina,,"Union Station, Stanton Park, Kingman Park",38.89959,-76.98779,Entire home/apt,175,2,0,,,1,0
38695418,Gorgeous Waterfront Furnished Windows TopFloorView,6743344,Deborah,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.87596,-77.01495,Entire home/apt,125,90,0,,,1,135
38697663,Modern U St Home | 100' to METRO! | FREE PARKING!,30216884,Kelly,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91674,-77.02884,Entire home/apt,263,1,26,2020-03-09,1.18,1,0
38698346,Union Market Garden Apartment,22731277,Mark,,"Union Station, Stanton Park, Kingman Park",38.90377,-77.00204,Entire home/apt,144,1,174,2021-07-05,9.98,3,108
38711311,"Modern, cozy condo near all attractions and Metros",92306056,Hoderic,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89578,-77.02021,Entire home/apt,93,18,15,2020-10-31,0.75,1,94
38712676,"Mod Navy Yard 1BR w/ Gym, Garden, W/D, walk to Waterfront, by Blueground",107434423,Blueground,,"Near Southeast, Navy Yard",38.87849,-77.0048,Entire home/apt,137,30,0,,,131,328
38720192,DOLLYbnb! Dolly Parton Basement Apt in DC Rowhouse,6781714,Jordan,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9107,-77.01087,Entire home/apt,76,1,37,2021-07-05,8.10,1,6
38720480,Kid/Baby Friendly 2bd/2ba in DC (New Construction),154873968,Brianna,,"Brookland, Brentwood, Langdon",38.92284,-76.99026,Entire home/apt,97,180,1,2021-03-31,0.29,1,270
38720896,★Cozy English Basement★ H Street/Union Station,141591252,Lee,,"Union Station, Stanton Park, Kingman Park",38.90294,-76.9957,Entire home/apt,85,2,77,2021-06-28,3.83,1,140
38730383,Charming English Basement blocks to Union Station,5956393,Kyle,,"Union Station, Stanton Park, Kingman Park",38.89863,-76.99601,Entire home/apt,96,1,91,2021-05-15,4.21,2,293
38730401,Beautifully Renovated DC Row Home,8003285,Nathan & Brittany,,"Union Station, Stanton Park, Kingman Park",38.89839,-76.99924,Entire home/apt,102,3,83,2021-05-23,5.68,1,113
38758823,1 Month & Longer Stays in Adams Morgan 1 BD Condo,69203193,Leyla & Matt,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91943,-77.03846,Entire home/apt,80,30,2,2021-06-27,0.11,30,209
38773382,Bright Large & Comfy 1 Bedroom Flat / 2nd Floor,296522778,Mahmut,,"Brightwood Park, Crestwood, Petworth",38.95629,-77.02144,Entire home/apt,48,10,5,2020-05-15,0.28,1,0
38777196,Turn of the Century 1 Bedroom DuPont Circle,39930655,Nicole,,"Dupont Circle, Connecticut Avenue/K Street",38.9117,-77.04176,Entire home/apt,175,1,1,2019-09-27,0.05,144,5
38778590,2BR| 2.5BA|Eckington|Close to DCA|Union Station,5685033,Jon,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91651,-77.00245,Entire home/apt,181,2,11,2021-06-23,0.52,2,361
38783401,NEW! Stylish Garden Apartment in Hip Logan Circle,26266075,Amanda,,"Shaw, Logan Circle",38.91266,-77.02994,Entire home/apt,148,5,11,2021-04-24,0.53,1,55
38793598,🌟Luxury guest house~2bedroom~2bathroom~Cable/Wifi,294411073,Naod,,"Brightwood Park, Crestwood, Petworth",38.95232,-77.02889,Entire home/apt,299,2,7,2021-06-27,0.33,3,362
38817187,🌟Luxury guest house~1bedroom~Balcony~Cable/Wifi,294411073,Naod,,"Brightwood Park, Crestwood, Petworth",38.95054,-77.02734,Entire home/apt,129,3,35,2021-07-05,1.60,3,362
